id,name,facility_type,street,city,state,zip,county,latitude,longitude,accepts_septage,accepts_grease_trap,accepts_portable_toilet,pricing_notes,phone,email,website,frs_id,npdes_id,state_permit_id,first_seen_at,last_seen_at
0049c008-4a05-4661-aba5-a64d91d4113b,Parcel No. 78294 Masonry Ln. SFR,private_regional_septage_facility,,,NC,,Chatham,,,Unknown,Unknown,Unknown,,,,https://edocs.deq.nc.gov/WaterResources/Search.aspx?dbid=0&searchcommand=%7B%5B%5D%3A%5BID%20%23%5D%3D%22WQ0022916%22%7D,,,WQ0022916,2026-06-13 02:20:02.366830+00:00,2026-06-13 02:20:02.366830+00:00
004b2099-51d6-494c-ba96-a1bf33949710,CB Septic,private_regional_septage_facility,2211 Braswell Rushing Rd,Monroe,NC,,Union,,,Unknown,Unknown,Unknown,,937.-72.1901,,,,,NCS-01907,2026-06-13 02:20:14.798453+00:00,2026-06-13 02:20:14.798453+00:00
004bddb7-def7-4e4b-aa2c-487fc76a0126,"Gerald Temple Septic Service, LLC",private_regional_septage_facility,1896 Temple Road,Bunnlevel,NC,,Harnett,35.312892607921,-78.854498309644,Yes,Yes,Unknown,,(910) 893-4953,,,,,NCS-01692,2026-06-13 02:20:07.409760+00:00,2026-06-13 02:20:07.409760+00:00
00507f0b-c51c-48df-b208-821765260496,Wells Pork-Beef Products WWTF,private_regional_septage_facility,,,NC,,Pender,,,Unknown,Unknown,Unknown,,,,https://edocs.deq.nc.gov/WaterResources/Search.aspx?dbid=0&searchcommand=%7B%5B%5D%3A%5BID%20%23%5D%3D%22WQ0012709%22%7D,,,WQ0012709,2026-06-13 02:20:02.366830+00:00,2026-06-13 02:20:02.366830+00:00
0078149e-ced4-431d-927b-afcf8df994f1,Danny's Dumpster Compost Facility - Leicester,composting_facility,43 Poor Man's Hollow,Leicester,NC,28748,Buncombe,35.592768,-82.680572,Unknown,Unknown,Unknown,,(828) 380-9094,,,,,1120-COMPOST-2023,2026-06-13 02:20:07.409760+00:00,2026-06-13 02:20:07.409760+00:00
00abf1b4-1580-44a1-80c4-4404353f63a2,Reflow Septic Solutions Inc,private_regional_septage_facility,3350 Huffines Dr,Burlington,NC,,Alamance,36.157571502773,-79.444677853939,Unknown,Unknown,Unknown,,,,,,,NCS-01316,2026-06-13 02:20:07.409760+00:00,2026-06-13 02:20:07.409760+00:00
00ae4482-5a07-4e13-81bc-28b148283fca,LIQUID ENVIRONMENTAL SOLUTIONS OF TEXAS LP PROCESSING FACILITY,private_regional_septage_facility,250 GELLHORN DR,HOUSTON,TX,77013,HARRIS,29.785555,-95.260833,Yes,Yes,Unknown,,,,,,,2234D,2026-06-13 02:19:52.391210+00:00,2026-06-13 02:19:52.391210+00:00
00d7a122-5853-42c9-bfb8-86f8153444a1,EZ WASTE,transfer_station,10217 WALLISVILLE RD UNIT C,HOUSTON,TX,77013-4115,Harris,29.794501,-95.24968,Unknown,Unknown,Unknown,,,,,110070362519,TXR05CN07,2386,2026-06-13 02:11:43.714909+00:00,2026-06-13 02:19:52.391210+00:00
00e09f1b-ba94-4aff-a6a3-705e79dbebc0,Smokey Mountain Disposal,private_regional_septage_facility,PO Box 581,Sylva,NC,,Jackson,,,Unknown,Unknown,Unknown,,,,,,,NCS-01214,2026-06-13 02:20:14.798453+00:00,2026-06-13 02:20:14.798453+00:00
014d4d5e-c03f-4140-8703-22b2be03abd2,CITY OF MIDLAND EAST CITIZENS CONVENIENCE CENTER,transfer_station,1924 E CUTHBERT AVE,MIDLAND,TX,79701,MIDLAND,32.013111,-102.056028,Unknown,Unknown,Unknown,,,,,,,120216,2026-06-13 02:19:52.391210+00:00,2026-06-13 02:19:52.391210+00:00
0158ce45-0b31-436f-89fe-217d8789d87d,LIQUITEK ARLINGTON LIQUID WASTE PROC FAC,private_regional_septage_facility,408 113TH ST,ARLINGTON,TX,76011,TARRANT,32.7448,-97.0432,Unknown,Unknown,Unknown,,,,,,,2379,2026-06-13 02:19:41.329224+00:00,2026-06-13 02:19:41.329224+00:00
015fb5fc-be50-4fe8-8f47-18347835a409,Dogwood Veterinary Hospital and Pet Resort WWTF,private_regional_septage_facility,,,NC,,Chatham,,,Unknown,Unknown,Unknown,,,,https://edocs.deq.nc.gov/WaterResources/Search.aspx?dbid=0&searchcommand=%7B%5B%5D%3A%5BID%20%23%5D%3D%22WQ0030304%22%7D,,,WQ0030304,2026-06-13 02:20:02.366830+00:00,2026-06-13 02:20:02.366830+00:00
0160d834-90d0-43c4-849e-fa23005d0ce8,The Septic Guy,private_regional_septage_facility,P.O. Box 9089,Rocky Mount,NC,,Nash,,,Unknown,Unknown,Unknown,,(252) 442-9340,,,,,NCS-01096,2026-06-13 02:20:14.798453+00:00,2026-06-13 02:20:14.798453+00:00
0181fabe-e56e-4a81-ac64-9b8b61fe5ac8,Builders FirstSource - Apex Yard WWTF,private_regional_septage_facility,,,NC,,Chatham,,,Unknown,Unknown,Unknown,,,,https://edocs.deq.nc.gov/WaterResources/Search.aspx?dbid=0&searchcommand=%7B%5B%5D%3A%5BID%20%23%5D%3D%22WQ0014391%22%7D,,,WQ0014391,2026-06-13 02:20:02.366830+00:00,2026-06-13 02:20:02.366830+00:00
01c807f3-124c-4358-994a-abc742cb214a,GREEN GROUND COMPOST,composting_facility,7513 ANGLIN DR,FORT WORTH,TX,76140,TARRANT,32.643013,-97.250694,Unknown,Unknown,Unknown,,,,,,,47046,2026-06-13 02:19:52.391210+00:00,2026-06-13 02:19:52.391210+00:00
01fbde70-004a-40dd-a608-dab05ae2252d,Nourse Farms NC WWTP,potw_receiving_station,,,NC,,Henderson,,,Unknown,Unknown,Unknown,,,,https://edocs.deq.nc.gov/WaterResources/Search.aspx?dbid=0&searchcommand=%7B%5B%5D%3A%5BID%20%23%5D%3D%22WQ0041136%22%7D,,,WQ0041136,2026-06-13 02:20:02.366830+00:00,2026-06-13 02:20:02.366830+00:00
